NEAT_airfoil
1.000000 0.051344
0.999748 0.051443
0.998993 0.051736
0.997736 0.052217
0.995977 0.052869
0.993719 0.053675
0.990964 0.054612
0.987715 0.055653
0.983974 0.056772
0.979746 0.057939
0.975036 0.059126
0.969846 0.060307
0.964184 0.061457
0.958054 0.062559
0.951463 0.063598
0.944418 0.064568
0.936925 0.065471
0.928992 0.066319
0.920627 0.067135
0.911838 0.067956
0.902635 0.068836
0.893027 0.069845
0.883022 0.071076
0.872632 0.072650
0.861867 0.074717
0.850737 0.077468
0.839255 0.081143
0.827430 0.085753
0.815276 0.090571
0.802805 0.094870
0.790028 0.098057
0.776960 0.099664
0.763613 0.099337
0.750000 0.096724
0.736136 0.091463
0.722033 0.083140
0.707708 0.071743
0.693173 0.057567
0.678443 0.041181
0.663534 0.023432
0.648460 0.005418
0.633237 -0.011464
0.617879 -0.026028
0.602403 -0.038081
0.586824 -0.047551
0.571157 -0.054382
0.555419 -0.058571
0.539625 -0.060237
0.523791 -0.059655
0.507933 -0.057200
0.492067 -0.053248
0.476209 -0.048140
0.460375 -0.042172
0.444581 -0.035605
0.428843 -0.028668
0.413176 -0.021566
0.397597 -0.014480
0.382121 -0.007572
0.366763 -0.000980
0.351540 0.005175
0.336466 0.010792
0.321557 0.015788
0.306827 0.020096
0.292292 0.023667
0.277967 0.026462
0.263864 0.028449
0.250000 0.029561
0.236387 0.029734
0.223040 0.028934
0.209972 0.027132
0.197195 0.024317
0.184724 0.020472
0.172570 0.015592
0.160745 0.009952
0.149263 0.019535
0.138133 0.034867
0.127368 0.049573
0.116978 0.062705
0.106973 0.073781
0.097365 0.082665
0.088162 0.089454
0.079373 0.094368
0.071008 0.097644
0.063075 0.099543
0.055582 0.100235
0.048537 0.099901
0.041946 0.098666
0.035816 0.096617
0.030154 0.093837
0.024964 0.090392
0.020254 0.086319
0.016026 0.081668
0.012285 0.076493
0.009036 0.070898
0.006281 0.065044
0.004023 0.059232
0.002264 0.053871
0.001007 0.049472
0.000252 0.046558
0.000000 0.045530
0.000252 -0.050009
0.001007 -0.050006
0.002264 -0.049629
0.004023 -0.048479
0.006281 -0.046178
0.009036 -0.042451
0.012285 -0.037148
0.016026 -0.030267
0.020254 -0.021935
0.024964 -0.012413
0.030154 -0.002078
0.035816 0.008583
0.041946 0.018958
0.048537 0.007480
0.055582 -0.007261
0.063075 -0.022734
0.071008 -0.038091
0.079373 -0.052458
0.088162 -0.065127
0.097365 -0.075715
0.106973 -0.084232
0.116978 -0.090926
0.127368 -0.095995
0.138133 -0.099553
0.149263 -0.101669
0.160745 -0.102351
0.172570 -0.101615
0.184724 -0.099473
0.197195 -0.096073
0.209972 -0.091846
0.223040 -0.088600
0.236387 -0.088296
0.250000 -0.089913
0.263864 -0.092739
0.277967 -0.096442
0.292292 -0.100866
0.306827 -0.105860
0.321557 -0.111281
0.336466 -0.116990
0.351540 -0.122851
0.366763 -0.128731
0.382121 -0.134501
0.397597 -0.140035
0.413176 -0.145212
0.428843 -0.149916
0.444581 -0.154036
0.460375 -0.157465
0.476209 -0.160109
0.492067 -0.161873
0.507933 -0.162670
0.523791 -0.162416
0.539625 -0.161032
0.555419 -0.158438
0.571157 -0.154549
0.586824 -0.149276
0.602403 -0.142528
0.617879 -0.134202
0.633237 -0.124187
0.648460 -0.112368
0.663534 -0.098614
0.678443 -0.082812
0.693173 -0.064846
0.707708 -0.044666
0.722033 -0.023081
0.736136 -0.001649
0.750000 0.017910
0.763613 0.033647
0.776960 0.042019
0.790028 0.043060
0.802805 0.041686
0.815276 0.039649
0.827430 0.037792
0.839255 0.036616
0.850737 0.036170
0.861867 0.036324
0.872632 0.036951
0.883022 0.037933
0.893027 0.039159
0.902635 0.040529
0.911838 0.041956
0.920627 0.043366
0.928992 0.044700
0.936925 0.045911
0.944418 0.046968
0.951463 0.047852
0.958054 0.048556
0.964184 0.049083
0.969846 0.049444
0.975036 0.049655
0.979746 0.049738
0.983974 0.049719
0.987715 0.049623
0.990964 0.049478
0.993719 0.049306
0.995977 0.049132
0.997736 0.048975
0.998993 0.048852
0.999748 0.048813
1.000000 0.048813
