#      x          Cp  
     1.00000    0.19003
     0.99137    0.17896
     0.97960    0.16223
     0.96596    0.14434
     0.95090    0.12569
     0.93495    0.10689
     0.91853    0.08814
     0.90189    0.06943
     0.88517    0.05059
     0.86844    0.03147
     0.85173    0.01187
     0.83508   -0.00818
     0.81855   -0.02892
     0.80219   -0.05158
     0.78600   -0.07763
     0.76994   -0.10917
     0.75395   -0.15088
     0.73788   -0.20702
     0.72194   -0.27302
     0.70641   -0.34316
     0.69133   -0.41158
     0.67660   -0.47102
     0.66200   -0.51272
     0.64736   -0.53976
     0.63259   -0.55568
     0.61763   -0.56214
     0.60248   -0.56046
     0.58712   -0.55172
     0.57154   -0.53947
     0.55579   -0.51214
     0.53972   -0.49523
     0.52348   -0.46825
     0.50684   -0.42767
     0.48975   -0.38852
     0.47241   -0.36184
     0.45500   -0.34880
     0.43766   -0.33943
     0.42049   -0.32120
     0.40342   -0.28831
     0.38656   -0.24633
     0.37022   -0.21039
     0.35433   -0.19415
     0.33857   -0.19671
     0.32287   -0.20008
     0.30732   -0.21083
     0.29186   -0.23253
     0.27641   -0.27142
     0.26070   -0.33934
     0.24463   -0.42743
     0.22852   -0.52363
     0.21279   -0.61669
     0.19744   -0.70570
     0.18238   -0.87670
     0.16755   -0.97459
     0.15297   -1.01222
     0.13871   -1.05617
     0.12486   -1.10924
     0.11154   -1.17005
     0.09887   -1.23244
     0.08698   -1.29137
     0.07597   -1.34384
     0.06595   -1.38903
     0.05697   -1.42585
     0.04901   -1.45510
     0.04201   -1.47623
     0.03589   -1.49068
     0.03054   -1.49697
     0.02586   -1.49655
     0.02176   -1.48763
     0.01815   -1.46907
     0.01497   -1.43998
     0.01218   -1.39564
     0.00971   -1.33508
     0.00756   -1.25029
     0.00569   -1.13830
     0.00410   -0.99101
     0.00277   -0.80482
     0.00170   -0.57752
     0.00090   -0.31605
     0.00035   -0.03620
     0.00006    0.23711
    -0.00001    0.48926
     0.00018    0.70386
     0.00063    0.86320
     0.00137    0.96066
     0.00240    0.99838
     0.00373    0.98989
     0.00537    0.95037
     0.00731    0.89380
     0.00957    0.82887
     0.01219    0.76257
     0.01522    0.69733
     0.01871    0.63559
     0.02275    0.57750
     0.02746    0.52332
     0.03300    0.47262
     0.03955    0.42493
     0.04735    0.37954
     0.05661    0.33575
     0.06747    0.29293
     0.07989    0.25054
     0.09365    0.20834
     0.10840    0.16635
     0.12381    0.12580
     0.13970    0.08754
     0.15590    0.04823
     0.17223    0.00564
     0.18846   -0.04566
     0.20430   -0.10918
     0.21963   -0.17525
     0.23448   -0.23818
     0.24898   -0.29303
     0.26327   -0.33201
     0.27755   -0.35446
     0.29191   -0.36531
     0.30640   -0.36672
     0.32103   -0.35953
     0.33581   -0.34756
     0.35066   -0.32891
     0.36568   -0.29774
     0.38106   -0.26761
     0.39700   -0.24848
     0.41353   -0.23550
     0.43046   -0.22466
     0.44747   -0.21283
     0.46435   -0.09562
     0.48114   -0.01985
     0.49800    0.01221
     0.51498    0.04878
     0.53180    0.08440
     0.54839    0.10567
     0.56472    0.13714
     0.58082    0.15787
     0.59669    0.17695
     0.61231    0.19127
     0.62770    0.20060
     0.64291    0.20386
     0.65804    0.19940
     0.67329    0.18132
     0.68897    0.15014
     0.70518    0.11078
     0.72177    0.06737
     0.73828    0.02565
     0.75456   -0.00516
     0.77076   -0.02284
     0.78702   -0.03281
     0.80338   -0.03703
     0.81986   -0.03700
     0.83644   -0.03432
     0.85309   -0.03008
     0.86976   -0.02347
     0.88641   -0.01408
     0.90300   -0.00155
     0.91947    0.01455
     0.93567    0.03474
     0.95138    0.05948
     0.96620    0.08900
     0.97966    0.12279
     0.99136    0.15988
     1.00000    0.19003
