#      x          Cp  
     1.00000    0.19113
     0.99124    0.17629
     0.97922    0.15580
     0.96523    0.13546
     0.94971    0.11690
     0.93336    0.09999
     0.91664    0.08190
     0.89967    0.06177
     0.88253    0.04176
     0.86540    0.02291
     0.84838    0.00327
     0.83143   -0.01973
     0.81446   -0.04687
     0.79742   -0.07748
     0.78033   -0.11163
     0.76324   -0.15137
     0.74625   -0.19935
     0.72959   -0.25532
     0.71347   -0.31438
     0.69787   -0.36862
     0.68259   -0.41054
     0.66743   -0.43522
     0.65221   -0.44258
     0.63684   -0.43623
     0.62141   -0.42268
     0.60631   -0.40838
     0.59216   -0.39348
     0.57956   -0.39420
     0.56873   -0.34524
     0.55933   -0.37571
     0.55032   -0.54230
     0.54018   -0.41818
     0.52817   -0.40580
     0.51415   -0.37980
     0.49842   -0.36513
     0.48155   -0.35493
     0.46408   -0.35092
     0.44630   -0.35267
     0.42837   -0.35939
     0.41048   -0.36933
     0.39276   -0.37989
     0.37525   -0.38748
     0.35792   -0.38788
     0.34069   -0.37502
     0.32349   -0.34390
     0.30654   -0.31589
     0.29009   -0.29802
     0.27403   -0.30203
     0.25804   -0.33613
     0.24175   -0.39951
     0.22512   -0.48028
     0.20855   -0.56231
     0.19237   -0.65363
     0.17664   -0.89194
     0.16136   -0.93120
     0.14656   -0.97071
     0.13222   -1.01939
     0.11840   -1.07598
     0.10517   -1.13537
     0.09271   -1.19737
     0.08118   -1.26159
     0.07071   -1.32136
     0.06131   -1.36717
     0.05294   -1.39216
     0.04554   -1.39761
     0.03903   -1.38921
     0.03331   -1.37506
     0.02829   -1.35944
     0.02388   -1.34343
     0.02000   -1.32610
     0.01658   -1.30364
     0.01356   -1.27198
     0.01090   -1.22751
     0.00857   -1.16142
     0.00653   -1.07007
     0.00478   -0.94366
     0.00330   -0.77430
     0.00210   -0.56228
     0.00117   -0.30809
     0.00052   -0.02968
     0.00014    0.24754
    -0.00001    0.49240
     0.00010    0.70667
     0.00048    0.86692
     0.00115    0.96350
     0.00212    0.99909
     0.00338    0.98712
     0.00495    0.94300
     0.00681    0.88083
     0.00899    0.80982
     0.01152    0.73720
     0.01443    0.66596
     0.01778    0.59934
     0.02165    0.53809
     0.02614    0.48381
     0.03141    0.43669
     0.03765    0.39673
     0.04510    0.36091
     0.05402    0.32231
     0.06456    0.27452
     0.07665    0.22261
     0.09012    0.17687
     0.10474    0.13784
     0.12022    0.09835
     0.13620    0.05376
     0.15234    0.00549
     0.16845   -0.04475
     0.18436   -0.09787
     0.19995   -0.15444
     0.21515   -0.21112
     0.22999   -0.26162
     0.24459   -0.29888
     0.25913   -0.31849
     0.27378   -0.31933
     0.28875   -0.30407
     0.30419   -0.27811
     0.32023   -0.24803
     0.33695   -0.21916
     0.35419   -0.19632
     0.37162   -0.17843
     0.38903   -0.16508
     0.40634   -0.15455
     0.42350   -0.14442
     0.44052   -0.13280
     0.45739   -0.11903
     0.47404   -0.10399
     0.49029   -0.08985
     0.50580   -0.07843
     0.52003   -0.06958
     0.53260   -0.06244
     0.54368    0.02747
     0.55484    0.02181
     0.56776    0.04745
     0.58258    0.05933
     0.59867    0.07837
     0.61525    0.10197
     0.63171    0.12630
     0.64784    0.14511
     0.66369    0.15270
     0.67953    0.14589
     0.69568    0.12502
     0.71236    0.09406
     0.72955    0.06016
     0.74688    0.03048
     0.76415    0.00817
     0.78134   -0.00788
     0.79846   -0.02015
     0.81547   -0.02943
     0.83239   -0.03375
     0.84929   -0.03098
     0.86626   -0.02225
     0.88328   -0.01167
     0.90025   -0.00131
     0.91702    0.01265
     0.93354    0.03571
     0.94972    0.06656
     0.96514    0.09940
     0.97914    0.13214
     0.99119    0.16583
     1.00000    0.19113
