#      x          Cp  
     1.00000    0.12970
     0.99156    0.11851
     0.98006    0.10225
     0.96672    0.08266
     0.95201    0.06024
     0.93654    0.03644
     0.92069    0.01366
     0.90449   -0.00638
     0.88790   -0.02379
     0.87090   -0.03969
     0.85360   -0.05508
     0.83618   -0.07061
     0.81873   -0.08651
     0.80129   -0.10267
     0.78390   -0.11916
     0.76659   -0.13655
     0.74931   -0.15566
     0.73199   -0.17696
     0.71460   -0.20019
     0.69715   -0.22461
     0.67975   -0.24941
     0.66244   -0.27414
     0.64525   -0.29861
     0.62829   -0.32266
     0.61174   -0.34603
     0.59594   -0.36774
     0.58138   -0.38947
     0.56842   -0.39638
     0.55676   -0.43573
     0.54477   -0.47653
     0.53108   -0.48907
     0.51598   -0.51342
     0.49996   -0.53895
     0.48341   -0.56660
     0.46661   -0.59579
     0.44967   -0.62554
     0.43268   -0.65715
     0.41565   -0.69164
     0.39863   -0.73090
     0.38164   -0.77797
     0.36471   -0.83757
     0.34791   -0.91567
     0.33132   -1.01739
     0.31505   -1.14118
     0.29911   -1.26160
     0.28349   -1.28147
     0.26815   -1.30270
     0.25300   -1.32569
     0.23798   -1.35070
     0.22302   -1.37790
     0.20809   -1.40740
     0.19322   -1.43933
     0.17840   -1.47395
     0.16369   -1.51166
     0.14913   -1.55296
     0.13480   -1.59838
     0.12080   -1.64843
     0.10724   -1.70364
     0.09426   -1.76448
     0.08205   -1.83123
     0.07080   -1.90385
     0.06066   -1.98202
     0.05172   -2.06524
     0.04395   -2.15300
     0.03725   -2.24484
     0.03150   -2.34030
     0.02654   -2.43890
     0.02226   -2.54000
     0.01855   -2.64259
     0.01531   -2.74532
     0.01248   -2.84602
     0.01001   -2.94112
     0.00785   -3.02606
     0.00599   -3.09288
     0.00438   -3.13210
     0.00303   -3.12874
     0.00192   -3.06766
     0.00106   -2.93145
     0.00043   -2.71145
     0.00004   -2.40208
    -0.00011   -1.97279
    -0.00003   -1.49292
     0.00025   -1.04058
     0.00077   -0.58227
     0.00154   -0.14469
     0.00258    0.22600
     0.00387    0.51611
     0.00543    0.72585
     0.00725    0.86435
     0.00933    0.94807
     0.01170    0.98896
     0.01436    0.99996
     0.01737    0.98909
     0.02075    0.96321
     0.02458    0.92658
     0.02891    0.88280
     0.03386    0.83403
     0.03953    0.78225
     0.04605    0.72875
     0.05356    0.67494
     0.06221    0.62222
     0.07208    0.57204
     0.08320    0.52597
     0.09553    0.48516
     0.10895    0.45011
     0.12329    0.42041
     0.13837    0.39531
     0.15404    0.37445
     0.17018    0.35770
     0.18675    0.34443
     0.20368    0.33354
     0.22088    0.32401
     0.23817    0.31484
     0.25540    0.30454
     0.27258    0.29133
     0.28983    0.27431
     0.30714    0.25430
     0.32439    0.23334
     0.34147    0.21335
     0.35843    0.19623
     0.37535    0.18197
     0.39227    0.17016
     0.40924    0.16033
     0.42625    0.15204
     0.44330    0.14491
     0.46035    0.13868
     0.47734    0.13317
     0.49411    0.12825
     0.51039    0.12436
     0.52577    0.11947
     0.53985    0.12397
     0.55336    0.10117
     0.56747    0.08971
     0.58270    0.08796
     0.59888    0.08353
     0.61563    0.07949
     0.63266    0.07538
     0.64982    0.07120
     0.66702    0.06682
     0.68419    0.06220
     0.70128    0.05738
     0.71824    0.05270
     0.73506    0.04885
     0.75177    0.04671
     0.76841    0.04684
     0.78507    0.04919
     0.80177    0.05323
     0.81853    0.05852
     0.83532    0.06493
     0.85214    0.07247
     0.86904    0.08083
     0.88600    0.08939
     0.90285    0.09740
     0.91943    0.10429
     0.93571    0.10999
     0.95159    0.11486
     0.96657    0.11936
     0.98003    0.12356
     0.99157    0.12738
     1.00000    0.12970
