#      x          Cp  
     1.00000    0.05457
     0.99154    0.04948
     0.97999    0.03859
     0.96659    0.02752
     0.95175    0.01657
     0.93600    0.00673
     0.91977   -0.00101
     0.90326   -0.00608
     0.88661   -0.00870
     0.87002   -0.01007
     0.85365   -0.01242
     0.83749   -0.01789
     0.82141   -0.02716
     0.80533   -0.03945
     0.78923   -0.05402
     0.77314   -0.07133
     0.75704   -0.09308
     0.74086   -0.12081
     0.72460   -0.15431
     0.70846   -0.19055
     0.69261   -0.22383
     0.67696   -0.25140
     0.66137   -0.27126
     0.64570   -0.28353
     0.62985   -0.29024
     0.61381   -0.29415
     0.59766   -0.29810
     0.58160   -0.30194
     0.56593   -0.31667
     0.55050   -0.30294
     0.53470   -0.29023
     0.51835   -0.28866
     0.50158   -0.28614
     0.48458   -0.28631
     0.46750   -0.29075
     0.45044   -0.30371
     0.43345   -0.33333
     0.41659   -0.39142
     0.39988   -0.48753
     0.38331   -0.58494
     0.36687   -0.59698
     0.35048   -0.60834
     0.33404   -0.61943
     0.31737   -0.63040
     0.30053   -0.64117
     0.28371   -0.65176
     0.26697   -0.66233
     0.25028   -0.67341
     0.23372   -0.68589
     0.21751   -0.70101
     0.20172   -0.72034
     0.18632   -0.74540
     0.17126   -0.77674
     0.15653   -0.81460
     0.14215   -0.85855
     0.12816   -0.90561
     0.11462   -0.95270
     0.10161   -0.99870
     0.08931   -1.04410
     0.07790   -1.08832
     0.06750   -1.12803
     0.05818   -1.15866
     0.04993   -1.17738
     0.04268   -1.18529
     0.03636   -1.18541
     0.03085   -1.18091
     0.02606   -1.17289
     0.02188   -1.16133
     0.01822   -1.14427
     0.01502   -1.11969
     0.01221   -1.08369
     0.00975   -1.03321
     0.00760   -0.96261
     0.00574   -0.86693
     0.00415   -0.74119
     0.00283   -0.57888
     0.00176   -0.38153
     0.00096   -0.15344
     0.00040    0.09244
     0.00008    0.33240
    -0.00000    0.54918
     0.00013    0.73498
     0.00050    0.87527
     0.00113    0.96425
     0.00203    0.99880
     0.00320    0.98867
     0.00465    0.94578
     0.00637    0.88391
     0.00839    0.81100
     0.01071    0.73541
     0.01338    0.66012
     0.01643    0.58812
     0.01993    0.52087
     0.02395    0.45896
     0.02859    0.40314
     0.03401    0.35340
     0.04036    0.30940
     0.04785    0.26939
     0.05666    0.23012
     0.06688    0.18890
     0.07845    0.14738
     0.09119    0.11021
     0.10492    0.07916
     0.11944    0.05179
     0.13450    0.02501
     0.14991   -0.00211
     0.16551   -0.02925
     0.18117   -0.05664
     0.19681   -0.08503
     0.21231   -0.11415
     0.22762   -0.14196
     0.24276   -0.16518
     0.25781   -0.18096
     0.27289   -0.18819
     0.28813   -0.18749
     0.30363   -0.18095
     0.31946   -0.17081
     0.33566   -0.15870
     0.35218   -0.14870
     0.36883   -0.14117
     0.38547   -0.13562
     0.40205   -0.13134
     0.41856   -0.12744
     0.43499   -0.12316
     0.45137   -0.11786
     0.46771   -0.11117
     0.48402   -0.10300
     0.50029   -0.09348
     0.51647   -0.08300
     0.53241   -0.07235
     0.54786   -0.06098
     0.56329   -0.05014
     0.57919   -0.04211
     0.59565   -0.03346
     0.61233   -0.02508
     0.62895   -0.01720
     0.64538   -0.01009
     0.66163   -0.00406
     0.67783    0.00036
     0.69415    0.00225
     0.71065    0.00071
     0.72711   -0.00378
     0.74332   -0.00888
     0.75931   -0.01180
     0.77519   -0.01097
     0.79102   -0.00640
     0.80682    0.00114
     0.82256    0.01077
     0.83828    0.02127
     0.85405    0.03071
     0.87002    0.03754
     0.88626    0.04226
     0.90274    0.04597
     0.91930    0.04868
     0.93571    0.05063
     0.95160    0.05203
     0.96653    0.05302
     0.97997    0.05372
     0.99154    0.05420
     1.00000    0.05457
