NEAT_airfoil
1.00000000 -0.03021300
0.99989034 -0.03019002
0.99956142 -0.03012104
0.99901336 -0.03000607
0.99824643 -0.02984511
0.99726095 -0.02963815
0.99605735 -0.02938521
0.99463617 -0.02908626
0.99299802 -0.02874131
0.99114363 -0.02835033
0.98907380 -0.02791332
0.98678945 -0.02743023
0.98429158 -0.02690104
0.98158128 -0.02632570
0.97865975 -0.02570415
0.97552826 -0.02503631
0.97218819 -0.02432211
0.96864099 -0.02356143
0.96488824 -0.02275413
0.96093158 -0.02190008
0.95677273 -0.02099910
0.95241353 -0.02005099
0.94785588 -0.01905551
0.94310179 -0.01801243
0.93815334 -0.01692144
0.93301270 -0.01578219
0.92768213 -0.01459437
0.92216396 -0.01335757
0.91646062 -0.01207135
0.91057460 -0.01073524
0.90450850 -0.00934874
0.89826496 -0.00791132
0.89184673 -0.00642233
0.88525662 -0.00488119
0.87849753 -0.00328724
0.87157241 -0.00163978
0.86448431 0.00006199
0.85723634 0.00181882
0.84983167 0.00363151
0.84227355 0.00550089
0.83456530 0.00742799
0.82671030 0.00941505
0.81871199 0.01146562
0.81057389 0.01358367
0.80229956 0.01577350
0.79389263 0.01803971
0.78535678 0.02038737
0.77669577 0.02282167
0.76791340 0.02534818
0.75901350 0.02797270
0.75000000 0.03069565
0.74087684 0.03349603
0.73164802 0.03634510
0.72231759 0.03921340
0.71288965 0.04207032
0.70336832 0.04488513
0.69375779 0.04762596
0.68406228 0.05026167
0.67428602 0.05276025
0.66443332 0.05510134
0.65450850 0.05728476
0.64451590 0.05931385
0.63445991 0.06119411
0.62434494 0.06293035
0.61417544 0.06452551
0.60395585 0.06560862
0.59369066 0.06602388
0.58338437 0.06702750
0.57304151 0.06792144
0.56266662 0.06876584
0.55226423 0.06957530
0.54183892 0.07035980
0.53139526 0.07112491
0.52093783 0.07187242
0.51047121 0.07260078
0.50000000 0.07330613
0.48952879 0.07398395
0.47906217 0.07462967
0.46860474 0.07523987
0.45816108 0.07581355
0.44773577 0.07635204
0.43733338 0.07685991
0.42695849 0.07734488
0.41661563 0.07781742
0.40630934 0.07829061
0.39604415 0.07877912
0.38582456 0.07929828
0.37565506 0.07986280
