=== Airfoil Parameters ===
m = 0.02
p = 0.4
t = 0.12

=== Control Points ===
0.00000, -0.01267, -0.01267
0.06667, -0.00611, -0.01222
0.13333, -0.00032, -0.01143
0.20000, 0.00453, -0.01047
0.26667, 0.00823, -0.00955
0.66667, 0.00724, -0.00881
0.75000, 0.00487, -0.00832
0.83333, 0.00149, -0.00808
0.91667, -0.00283, -0.00800
1.00000, -0.00799, -0.00799

=== Upper Surface ===
0.00000, -0.01267
-0.00004, -0.01239
-0.00005, -0.01211
-0.00007, -0.01183
-0.00008, -0.01155
-0.00008, -0.01127
-0.00008, -0.01099
-0.00008, -0.01071
-0.00007, -0.01043
-0.00006, -0.01015
-0.00004, -0.00987
-0.00001, -0.00959
0.00001, -0.00931
0.00005, -0.00903
0.00009, -0.00875
0.00013, -0.00847
0.00018, -0.00819
0.00023, -0.00791
0.00029, -0.00763
0.00035, -0.00735
0.00042, -0.00707
0.00050, -0.00678
0.00057, -0.00650
0.00066, -0.00622
0.00075, -0.00594
0.00084, -0.00566
0.00094, -0.00538
0.00104, -0.00509
0.00115, -0.00481
0.00126, -0.00453
0.00138, -0.00425
0.00150, -0.00397
0.00163, -0.00368
0.00177, -0.00340
0.00190, -0.00312
0.00205, -0.00284
0.00220, -0.00255
0.00235, -0.00227
0.00251, -0.00199
0.00267, -0.00170
0.00284, -0.00142
0.00301, -0.00114
0.00319, -0.00085
0.00337, -0.00057
0.00356, -0.00029
0.00375, -0.00000
0.00395, 0.00028
0.00415, 0.00056
0.00436, 0.00085
0.00457, 0.00113
0.00479, 0.00142
0.00501, 0.00170
0.00524, 0.00198
0.00547, 0.00227
0.00571, 0.00255
0.00595, 0.00284
0.00620, 0.00312
0.00645, 0.00340
0.00671, 0.00369
0.00697, 0.00397
0.00724, 0.00426
0.00751, 0.00454
0.00779, 0.00483
0.00807, 0.00511
0.00836, 0.00539
0.00865, 0.00568
0.00895, 0.00596
0.00925, 0.00625
0.00956, 0.00653
0.00987, 0.00682
0.01018, 0.00710
0.01050, 0.00738
0.01083, 0.00767
0.01116, 0.00795
0.01150, 0.00824
0.01184, 0.00852
0.01218, 0.00881
0.01254, 0.00909
0.01289, 0.00938
0.01325, 0.00966
0.01362, 0.00994
0.01399, 0.01023
0.01436, 0.01051
0.01474, 0.01080
0.01513, 0.01108
0.01552, 0.01136
0.01591, 0.01165
0.01631, 0.01193
0.01672, 0.01222
0.01713, 0.01250
0.01754, 0.01278
0.01796, 0.01307
0.01838, 0.01335
0.01881, 0.01363
0.01924, 0.01392
0.01968, 0.01420
0.02013, 0.01448
0.02057, 0.01477
0.02103, 0.01505
0.02148, 0.01533
0.02195, 0.01561
0.02241, 0.01590
0.02289, 0.01618
0.02336, 0.01646
0.02384, 0.01674
0.02433, 0.01702
0.02482, 0.01731
0.02532, 0.01759
0.02582, 0.01787
0.02632, 0.01815
0.02683, 0.01843
0.02735, 0.01871
0.02787, 0.01899
0.02839, 0.01927
0.02892, 0.01956
0.02946, 0.01984
0.03000, 0.02012
0.03054, 0.02040
0.03109, 0.02068
0.03164, 0.02096
0.03220, 0.02123
0.03276, 0.02151
0.03333, 0.02179
0.03390, 0.02207
0.03448, 0.02235
0.03506, 0.02263
0.03565, 0.02291
0.03624, 0.02318
0.03683, 0.02346
0.03743, 0.02374
0.03804, 0.02401
0.03865, 0.02429
0.03926, 0.02457
0.03988, 0.02484
0.04050, 0.02512
0.04113, 0.02539
0.04177, 0.02567
0.04240, 0.02595
0.04304, 0.02622
0.04369, 0.02649
0.04434, 0.02677
0.04500, 0.02704
0.04566, 0.02732
0.04633, 0.02759
0.04699, 0.02786
0.04767, 0.02813
0.04835, 0.02841
0.04903, 0.02868
0.04972, 0.02895
0.05041, 0.02922
0.05111, 0.02949
0.05181, 0.02976
0.05252, 0.03003
0.05323, 0.03030
0.05394, 0.03057
0.05466, 0.03084
0.05539, 0.03111
0.05612, 0.03137
0.05685, 0.03164
0.05759, 0.03191
0.05833, 0.03217
0.05908, 0.03244
0.05983, 0.03271
0.06059, 0.03297
0.06135, 0.03324
0.06211, 0.03350
0.06288, 0.03376
0.06366, 0.03403
0.06444, 0.03429
0.06522, 0.03455
0.06601, 0.03482
0.06680, 0.03508
0.06759, 0.03534
0.06839, 0.03560
0.06920, 0.03586
0.07001, 0.03612
0.07082, 0.03638
0.07164, 0.03664
0.07246, 0.03689
0.07329, 0.03715
0.07412, 0.03741
0.07496, 0.03766
0.07580, 0.03792
0.07664, 0.03818
0.07749, 0.03843
0.07834, 0.03868
0.07920, 0.03894
0.08006, 0.03919
0.08093, 0.03944
0.08180, 0.03969
0.08267, 0.03995
0.08355, 0.04020
0.08443, 0.04045
0.08532, 0.04070
0.08621, 0.04094
0.08711, 0.04119
0.08801, 0.04144
0.08891, 0.04169
0.08982, 0.04193
0.09073, 0.04218
0.09165, 0.04242
0.09257, 0.04267
0.09349, 0.04291
0.09442, 0.04315
0.09536, 0.04340
0.09629, 0.04364
0.09723, 0.04388
0.09818, 0.04412
0.09913, 0.04436
0.10008, 0.04460
0.10104, 0.04483
0.10201, 0.04507
0.10297, 0.04531
0.10394, 0.04554
0.10492, 0.04578
0.10590, 0.04601
