Airfoil,RMS_Cl,RMS_Cd,RMS_Cm
airfoil_points_000,0.0011564566897349412,7.33039898125142e-05,0.0002570166496760417
airfoil_points_001,0.010661055534287556,0.000490523096195052,0.0014039757403676982
airfoil_points_002,0.007483585641266894,0.0006123870689315439,0.0011664519216699365
airfoil_points_003,0.009161372755779667,0.00024139571819592194,0.0015311579528321797
airfoil_points_004,0.005345383833265037,0.00018186072822053945,0.0021473061357668633
airfoil_points_005,0.020968298978536585,0.0012248225071973518,0.0038685661294298184
airfoil_points_006,0.001461824808839071,0.00012292538279652188,0.000874637666417838
airfoil_points_007,0.0055813310932256366,0.00036434732312129415,0.004468771865184337
airfoil_points_008,0.01919651271226696,0.0010473473040214253,0.003934813689277783
airfoil_points_009,0.007976302114053084,0.0005175562857755834,0.0025411383383989036
airfoil_points_010,0.003953063338697858,0.0002777436186209926,0.0018807474826854228
airfoil_points_011,0.00369137533705779,0.00025211473445623233,0.0006217831007698338
airfoil_points_012,0.002125152891793034,0.00014615447476575472,0.0021607422259461895
airfoil_points_013,0.02612731847752833,0.0007827293502612763,0.006232797576632829
airfoil_points_014,0.031554770683203955,0.0015982376187276628,0.007559567341319575
airfoil_points_015,0.0035696361554053025,0.0002592601029342911,0.0011242473675557004
