#      x          Cp  
     1.00000    0.18116
     0.99127    0.16815
     0.97930    0.14996
     0.96535    0.13187
     0.94987    0.11524
     0.93353    0.09999
     0.91680    0.08366
     0.89982    0.06553
     0.88266    0.04742
     0.86549    0.03027
     0.84842    0.01246
     0.83142   -0.00814
     0.81441   -0.03220
     0.79734   -0.05923
     0.78024   -0.08946
     0.76317   -0.12481
     0.74619   -0.16769
     0.72954   -0.21781
     0.71343   -0.27062
     0.69783   -0.31894
     0.68255   -0.35587
     0.66739   -0.37683
     0.65217   -0.38180
     0.63679   -0.37403
     0.62135   -0.35956
     0.60620   -0.34441
     0.59198   -0.32882
     0.57927   -0.32804
     0.56833   -0.28126
     0.55880   -0.32164
     0.54958   -0.44543
     0.53914   -0.33664
     0.52681   -0.32513
     0.51249   -0.29916
     0.49656   -0.28319
     0.47961   -0.27132
     0.46212   -0.26493
     0.44434   -0.26356
     0.42646   -0.26629
     0.40862   -0.27132
     0.39096   -0.27599
     0.37352   -0.27671
     0.35625   -0.26934
     0.33908   -0.24765
     0.32194   -0.20956
     0.30510   -0.17445
     0.28877   -0.14976
     0.27282   -0.15126
     0.25690   -0.20946
     0.24066   -0.39085
     0.22409   -0.54494
     0.20761   -0.55768
     0.19154   -0.57264
     0.17590   -0.59479
     0.16073   -0.62815
     0.14601   -0.67399
     0.13177   -0.72508
     0.11803   -0.77012
     0.10488   -0.80824
     0.09248   -0.84345
     0.08101   -0.87655
     0.07058   -0.90148
     0.06122   -0.91093
     0.05289   -0.90049
     0.04551   -0.87199
     0.03902   -0.83100
     0.03331   -0.78378
     0.02831   -0.73393
     0.02390   -0.68161
     0.02003   -0.62625
     0.01662   -0.56430
     0.01360   -0.49319
     0.01094   -0.40982
     0.00861   -0.30923
     0.00657   -0.19004
     0.00482   -0.04793
     0.00334    0.11682
     0.00213    0.29961
     0.00120    0.49019
     0.00054    0.67157
     0.00015    0.82281
    -0.00001    0.93046
     0.00009    0.99031
     0.00046    0.99551
     0.00112    0.95020
     0.00207    0.86838
     0.00332    0.76646
     0.00487    0.65929
     0.00671    0.55519
     0.00888    0.46028
     0.01138    0.37583
     0.01426    0.30288
     0.01757    0.24117
     0.02140    0.19040
     0.02584    0.15050
     0.03103    0.12090
     0.03718    0.10048
     0.04452    0.08500
     0.05331    0.06599
     0.06371    0.03493
     0.07567   -0.00372
     0.08903   -0.03749
     0.10357   -0.06452
     0.11901   -0.09287
     0.13498   -0.12859
     0.15113   -0.17049
     0.16724   -0.21606
     0.18317   -0.26572
     0.19876   -0.31984
     0.21395   -0.37477
     0.22877   -0.42350
     0.24332   -0.45805
     0.25779   -0.47350
     0.27237   -0.46852
     0.28724   -0.44628
     0.30257   -0.41375
     0.31849   -0.37965
     0.33509   -0.35001
     0.35225   -0.32563
     0.36963   -0.30412
     0.38703   -0.28475
     0.40431   -0.26722
     0.42146   -0.25121
     0.43847   -0.23636
     0.45533   -0.22249
     0.47200   -0.20969
     0.48833   -0.19812
     0.50402   -0.18777
     0.51856   -0.13638
     0.53153   -0.06773
     0.54296   -0.00428
     0.55436   -0.03697
     0.56744   -0.01297
     0.58238    0.00507
     0.59854    0.02753
     0.61514    0.05335
     0.63162    0.07898
     0.64776    0.09883
     0.66361    0.10785
     0.67946    0.10317
     0.69561    0.08503
     0.71228    0.05696
     0.72945    0.02574
     0.74676   -0.00159
     0.76401   -0.02167
     0.78119   -0.03530
     0.79831   -0.04481
     0.81535   -0.05112
     0.83232   -0.05272
     0.84927   -0.04789
     0.86628   -0.03762
     0.88334   -0.02540
     0.90033   -0.01279
     0.91712    0.00359
     0.93366    0.02822
     0.94984    0.05968
     0.96523    0.09280
     0.97920    0.12536
     0.99121    0.15739
     1.00000    0.18116
