#      x          Cp  
     1.00000    0.19509
     0.99103    0.18416
     0.97872    0.16698
     0.96442    0.14998
     0.94863    0.13321
     0.93197    0.11704
     0.91487    0.10134
     0.89758    0.08584
     0.88025    0.07024
     0.86293    0.05430
     0.84566    0.03780
     0.82851    0.02083
     0.81154    0.00261
     0.79480   -0.01832
     0.77831   -0.04356
     0.76208   -0.07563
     0.74614   -0.11968
     0.73077   -0.17206
     0.71666   -0.22487
     0.70426   -0.26542
     0.69373   -0.29974
     0.68480   -0.25460
     0.67670   -0.41446
     0.66853   -0.70033
     0.65992   -0.69053
     0.64960   -0.51523
     0.63734   -0.47593
     0.62325   -0.43727
     0.60776   -0.41212
     0.59138   -0.39287
     0.57453   -0.37740
     0.55745   -0.36327
     0.54026   -0.34846
     0.52300   -0.33140
     0.50566   -0.31094
     0.48820   -0.28646
     0.47057   -0.25784
     0.45274   -0.22566
     0.43474   -0.19119
     0.41674   -0.15650
     0.39898   -0.12412
     0.38159   -0.09616
     0.36455   -0.07411
     0.34782   -0.05880
     0.33136   -0.04963
     0.31513   -0.04666
     0.29909   -0.05205
     0.28314   -0.06879
     0.26705   -0.10978
     0.25056   -0.19895
     0.23388   -0.44229
     0.21753   -0.46930
     0.20163   -0.48895
     0.18605   -0.51821
     0.17071   -0.55813
     0.15562   -0.60208
     0.14084   -0.64281
     0.12646   -0.67984
     0.11263   -0.71137
     0.09948   -0.73510
     0.08714   -0.74935
     0.07576   -0.75314
     0.06542   -0.74649
     0.05619   -0.72907
     0.04806   -0.70237
     0.04095   -0.66607
     0.03476   -0.62196
     0.02938   -0.56935
     0.02470   -0.50871
     0.02060   -0.43941
     0.01702   -0.36006
     0.01387   -0.27037
     0.01112   -0.16755
     0.00871   -0.05166
     0.00662    0.08020
     0.00483    0.22642
     0.00332    0.38567
     0.00210    0.55063
     0.00117    0.71010
     0.00051    0.84705
     0.00012    0.94509
    -0.00001    0.99478
     0.00011    0.99100
     0.00052    0.93274
     0.00124    0.83107
     0.00227    0.70520
     0.00362    0.57454
     0.00529    0.45256
     0.00729    0.34638
     0.00964    0.25726
     0.01238    0.18441
     0.01555    0.12577
     0.01922    0.07896
     0.02349    0.04177
     0.02851    0.01218
     0.03445   -0.01159
     0.04153   -0.03124
     0.05001   -0.04834
     0.06012   -0.06470
     0.07196   -0.08202
     0.08543   -0.10166
     0.10022   -0.12426
     0.11592   -0.14939
     0.13226   -0.17400
     0.14903   -0.20046
     0.16606   -0.23235
     0.18308   -0.27441
     0.19975   -0.33604
     0.21584   -0.40598
     0.23136   -0.47401
     0.24643   -0.53290
     0.26124   -0.57296
     0.27600   -0.59116
     0.29084   -0.59430
     0.30584   -0.58531
     0.32101   -0.56605
     0.33639   -0.53846
     0.35198   -0.50549
     0.36780   -0.47425
     0.38389   -0.45193
     0.40030   -0.43648
     0.41705   -0.42556
     0.43419   -0.41533
     0.45171   -0.27324
     0.46958   -0.13939
     0.48771   -0.09745
     0.50590   -0.06740
     0.52403   -0.03880
     0.54204   -0.01126
     0.55986    0.01586
     0.57734    0.04375
     0.59410    0.07394
     0.60960    0.10678
     0.62326    0.14554
     0.63486    0.18468
     0.64466    0.25032
     0.65386    0.21680
     0.66313    0.10436
     0.67302    0.11317
     0.68460    0.09784
     0.69813    0.06834
     0.71334    0.02902
     0.72953   -0.01388
     0.74600   -0.05217
     0.76252   -0.07526
     0.77915   -0.08691
     0.79593   -0.09083
     0.81286   -0.08893
     0.82994   -0.08288
     0.84712   -0.07459
     0.86435   -0.06370
     0.88159   -0.04963
     0.89880   -0.03201
     0.91590   -0.01042
     0.93278    0.01562
     0.94918    0.04648
     0.96470    0.08212
     0.97880    0.12144
     0.99102    0.16236
     1.00000    0.19509
