#      x          Cp  
     1.00000    0.18065
     0.99131    0.17074
     0.97942    0.15602
     0.96562    0.13963
     0.95039    0.12210
     0.93427    0.10411
     0.91771    0.08599
     0.90096    0.06779
     0.88417    0.04945
     0.86739    0.03078
     0.85067    0.01162
     0.83405   -0.00808
     0.81760   -0.02866
     0.80135   -0.05134
     0.78530   -0.07768
     0.76941   -0.10995
     0.75357   -0.15327
     0.73761   -0.21243
     0.72171   -0.28372
     0.70621   -0.36110
     0.69118   -0.43787
     0.67651   -0.50552
     0.66198   -0.55466
     0.64739   -0.58789
     0.63267   -0.60898
     0.61775   -0.61914
     0.60260   -0.61996
     0.58722   -0.61265
     0.57156   -0.59569
     0.55559   -0.58105
     0.53937   -0.54629
     0.52258   -0.50869
     0.50536   -0.47667
     0.48799   -0.45823
     0.47065   -0.45698
     0.45355   -0.46374
     0.43686   -0.46224
     0.42040   -0.43994
     0.40398   -0.39343
     0.38757   -0.33199
     0.37165   -0.27733
     0.35635   -0.24844
     0.34128   -0.25093
     0.32609   -0.26771
     0.31084   -0.28703
     0.29563   -0.31666
     0.28039   -0.36260
     0.26492   -0.43912
     0.24902   -0.54468
     0.23299   -0.66769
     0.21729   -0.79552
     0.20202   -0.91025
     0.18703   -1.00717
     0.17225   -1.09348
     0.15768   -1.17173
     0.14337   -1.26270
     0.12941   -1.51761
     0.11592   -1.57416
     0.10302   -1.63594
     0.09084   -1.70779
     0.07951   -1.78756
     0.06913   -1.86941
     0.05977   -1.94852
     0.05145   -2.02339
     0.04412   -2.09290
     0.03771   -2.15736
     0.03211   -2.21676
     0.02721   -2.27061
     0.02292   -2.31939
     0.01915   -2.36051
     0.01584   -2.39364
     0.01292   -2.41479
     0.01036   -2.41958
     0.00811   -2.40258
     0.00616   -2.35289
     0.00448   -2.26209
     0.00308   -2.11492
     0.00194   -1.90200
     0.00107   -1.61614
     0.00046   -1.26731
     0.00010   -0.87935
    -0.00001   -0.47788
     0.00011   -0.08444
     0.00051    0.26850
     0.00120    0.55899
     0.00218    0.77075
     0.00347    0.90484
     0.00506    0.97571
     0.00696    0.99947
     0.00919    0.99156
     0.01177    0.96328
     0.01475    0.92315
     0.01819    0.87577
     0.02217    0.82529
     0.02682    0.77291
     0.03227    0.72042
     0.03873    0.66794
     0.04643    0.61598
     0.05559    0.56448
     0.06638    0.51361
     0.07879    0.46348
     0.09262    0.41431
     0.10752    0.36630
     0.12316    0.32037
     0.13933    0.27724
     0.15585    0.23354
     0.17251    0.18668
     0.18901    0.13015
     0.20502    0.06104
     0.22040   -0.01055
     0.23525   -0.07896
     0.24968   -0.13948
     0.26390   -0.18417
     0.27810   -0.21360
     0.29236   -0.23228
     0.30671   -0.24228
     0.32114   -0.24591
     0.33557   -0.24560
     0.35000   -0.22897
     0.36462   -0.19359
     0.37970   -0.16408
     0.39551   -0.14875
     0.41207   -0.14004
     0.42899   -0.13166
     0.44611   -0.08940
     0.46332    0.05230
     0.48037    0.06258
     0.49731    0.06931
     0.51430    0.09260
     0.53139    0.12500
     0.54826    0.16204
     0.56476    0.18433
     0.58098    0.20798
     0.59687    0.22555
     0.61245    0.23860
     0.62778    0.24634
     0.64291    0.24783
     0.65796    0.24129
     0.67314    0.22041
     0.68879    0.18560
     0.70501    0.14188
     0.72158    0.09357
     0.73800    0.04711
     0.75415    0.01241
     0.77022   -0.00801
     0.78634   -0.02000
     0.80259   -0.02565
     0.81899   -0.02663
     0.83553   -0.02463
     0.85216   -0.02106
     0.86884   -0.01513
     0.88553   -0.00651
     0.90219    0.00508
     0.91875    0.01995
     0.93508    0.03852
     0.95093    0.06115
     0.96591    0.08808
     0.97950    0.11889
     0.99130    0.15323
     1.00000    0.18065
